credit_model,instrument,insurance,fair_price,fair_to_par,mean_ann_return,risk_sharpe,risk_var_95
gaussian_copula,model_a,none,498263.51568229886,1.1072522570717753,0.009499856437954965,-2.1556212812506175,0.011757930002646029
gaussian_copula,model_b,none,408698.5200894122,0.9082189335320272,-0.01134989458663904,-2.4251957838569855,0.04722540473438719
gaussian_copula,equity,none,8111480.3991372315,1.0300292570332992,-0.01150054266303662,-0.6644133853122127,0.1097777705292815
gaussian_copula,mezzanine,none,8670288.417204382,0.7864207181137761,-0.028236831826483563,-1.7816881128465418,0.09503413420247665
gaussian_copula,senior,none,11827127.589917244,0.9386609198347019,-0.006328184533204186,-21.25738640549141,0.008920550872807624
student_t_copula,model_a,none,499224.8749140123,1.1093886109200275,0.009680192067458699,-2.1209848916201604,0.011788762090171889
student_t_copula,model_b,none,408613.2672993477,0.9080294828874392,-0.011910516674597652,-2.126379638943354,0.054476206365358305
student_t_copula,equity,none,8273604.162353535,1.050616401568703,-0.010482562378354774,-0.6327552744629302,0.1120588778544211
student_t_copula,mezzanine,none,8566111.912861248,0.7769716020735826,-0.03248577949176114,-1.3821500350807443,0.11992150768076668
student_t_copula,senior,none,11763212.63573955,0.9335883044237738,-0.006917093663822276,-10.939744375270294,0.01255439728144081
cox_intensity,model_a,none,469790.29882731684,1.0439784418384819,0.0035847466526701664,-2.6452076173769257,0.017252764315825276
cox_intensity,model_b,none,265224.0449793758,0.5893867666208351,-0.052579431006590654,-5.937625721178589,0.07759957607884413
cox_intensity,equity,none,4385506.742692512,0.5568897451038111,-0.07251162210374766,-1.2973036473487662,0.16488819820150735
cox_intensity,mezzanine,none,2885708.303950744,0.2617422497914507,-0.1354290749762458,-3.619404366480796,0.23307208394395285
cox_intensity,senior,none,11294468.10191305,0.8963863572946865,-0.01091882190883749,-16.151122429399354,0.015712736726264446
gaussian_copula,model_a,actuarial,409240.0193171222,0.9094222651491604,-0.01053413250972465,-3.0886509569188774,0.036383589510692774
gaussian_copula,model_b,actuarial,407102.35701119906,0.9046719044693312,-0.010984674400855638,-3.22560111791941,0.03584437288679051
gaussian_copula,equity,actuarial,8220470.889165254,1.04386931925908,-0.013646195372490962,-0.5253359059893115,0.11654309976457085
gaussian_copula,mezzanine,actuarial,8450315.93525815,0.7664685655562948,-0.02660869206387697,-7.18895021799803,0.04246531564621952
gaussian_copula,senior,actuarial,11826378.166360533,0.9386014417746454,-0.006328684002000864,-26.169661374993986,0.00893510448368816
student_t_copula,model_a,actuarial,410150.52643520327,0.9114456143004517,-0.010318805897742044,-3.067063815909848,0.036276634406026846
student_t_copula,model_b,actuarial,407116.73033134284,0.9047038451807619,-0.01102474472341956,-3.1576999495972364,0.036587794696962696
student_t_copula,equity,actuarial,8436899.153888384,1.0713522735096361,-0.009246587620069371,-0.521494175086638,0.10795292663130977
student_t_copula,mezzanine,actuarial,8301608.377378567,0.7529803516896659,-0.028499447416768766,-6.13064404762687,0.048679800490835125
student_t_copula,senior,actuarial,11759663.591927046,0.9333066342799243,-0.006923739845865138,-13.702133511599603,0.012746553614727022
cox_intensity,model_a,actuarial,380717.37658803404,0.8460386146400757,-0.017658309643220304,-3.575232066839177,0.04326350547580784
cox_intensity,model_b,actuarial,369916.63577202166,0.8220369683822704,-0.02042003402563533,-3.880374500071381,0.04511736298455314
cox_intensity,equity,actuarial,9464234.546275703,1.2018075614318353,0.009111189648215846,-0.49146649923092234,0.07241050347950813
cox_intensity,mezzanine,actuarial,5131445.595807414,0.4654372422501055,-0.07368848567858355,-31.230794937011154,0.07849628252029694
cox_intensity,senior,actuarial,11298484.361958403,0.8967051080919367,-0.010874028492326424,-18.603000977869346,0.015474141711256939
gaussian_copula,model_a,option_theoretic,435963.52892020607,0.9688078420449023,-0.004112016171093826,-2.8535190438776867,0.02821116240087636
gaussian_copula,model_b,option_theoretic,433831.55134669004,0.9640701141037556,-0.004543908237871236,-2.977485840116819,0.02774922435709644
gaussian_copula,equity,option_theoretic,9787638.549674133,1.2428747364665564,0.012739094211516597,-0.438933501248192,0.06938998142817913
gaussian_copula,mezzanine,option_theoretic,8753125.199232597,0.7939342584337956,-0.023149471761366086,-7.034588495354095,0.03846466119589778
gaussian_copula,senior,option_theoretic,11827444.845361575,0.9386860988382203,-0.006319736652178661,-26.146594654175257,0.008923544875703612
student_t_copula,model_a,option_theoretic,437066.6836835031,0.9712592970744514,-0.0038832046756887054,-2.8018492923429097,0.028591689328759416
student_t_copula,model_b,option_theoretic,433974.7521905739,0.9643883382012753,-0.004561134442975784,-2.8948728462433326,0.028727203943111235
student_t_copula,equity,option_theoretic,9940225.936882563,1.2622509126200079,0.014725313811531374,-0.41992150108430504,0.0659662244772944
student_t_copula,mezzanine,option_theoretic,8673278.865045767,0.7866919605483689,-0.024191197525054522,-5.958654231465606,0.043607620115011146
student_t_copula,senior,option_theoretic,11764727.85141184,0.9337085596358603,-0.00688033677513301,-13.791002983341931,0.012653362004941214
cox_intensity,model_a,option_theoretic,407426.861852573,0.905393026339051,-0.010837197474285598,-3.3304107764161706,0.0350371358967766
cox_intensity,model_b,option_theoretic,396699.1924557715,0.8815537610128256,-0.013409999238896651,-3.6442454691890367,0.03655536602692409
cox_intensity,equity,option_theoretic,10408510.11970906,1.3217155707567059,0.02124951066064843,-0.3559055870111697,0.051215411548566826
cox_intensity,mezzanine,option_theoretic,6058696.294877494,0.5495416140478452,-0.05815539226246544,-31.195785007915728,0.062289164405848994
cox_intensity,senior,option_theoretic,11301737.05731745,0.896963258517258,-0.010845361256047183,-18.650677008663706,0.015441174299106053
